quantity,null_name,scenario,alt_type,level,statistic,estimate,mc_se,num_replicates,alpha,critical_value,success_rate,error_rate,mean_value,median_value,n,n_eval_source,n_solve,base_seed
empirical power,truncated_elliptical_t,power,scale,1.2,potential,0.988,0.004869496893930627,500,0.05,3.156159262212836,0.084,0.0,4.125505375610563,4.118236705424002,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.2,w2,1.0,0.0,500,0.05,0.0625430442876067,0.084,0.0,0.1474896240061991,0.14691147028968432,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.05,mmd,0.398,0.02189045454073533,500,0.05,0.0004331808497901,1.0,0.0,0.00040535646534783275,0.00033082853895765,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.05,potential,0.282,0.020123419192572618,500,0.05,1.9801363445849376,0.298,0.0,1.7626348891704657,1.7426054317793715,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.05,w2,0.248,0.019313000802568203,500,0.05,0.0572042510027439,0.298,0.0,0.054902690534042876,0.05449482489640155,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.1,mmd,0.924,0.01185107590052481,500,0.05,0.0004331808497901,1.0,0.0,0.0013606303757989382,0.0012425063785978501,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.1,potential,0.866,0.015234434679370286,500,0.05,1.9801363445849376,0.278,0.0,2.5363910465433417,2.50601865446841,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.1,w2,0.83,0.016798809481626965,500,0.05,0.0572042510027439,0.278,0.0,0.0630929988720751,0.06233776160736525,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.15,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.002662966660782254,0.00256590867974565,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.15,potential,0.998,0.001997998998998749,500,0.05,1.9801363445849376,0.274,0.0,3.3761113486632657,3.3648976680800473,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.15,w2,1.0,0.0,500,0.05,0.0572042510027439,0.274,0.0,0.07497404605144153,0.07422470151274654,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.2,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.0047094171772435875,0.004658981166569,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.2,potential,1.0,0.0,500,0.05,1.9801363445849376,0.212,0.0,4.399534139857523,4.403418059582975,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.2,w2,1.0,0.0,500,0.05,0.0572042510027439,0.212,0.0,0.09413337915958706,0.09351785729289419,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.25,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.007120052846747874,0.006975414360583,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.25,potential,1.0,0.0,500,0.05,1.9801363445849376,0.156,0.0,5.376200246021027,5.376446485453128,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.25,w2,1.0,0.0,500,0.05,0.0572042510027439,0.156,0.0,0.11701264958121393,0.1166500574760389,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.3,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.009831238891052335,0.009722006270804849,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.3,potential,1.0,0.0,500,0.05,1.9801363445849376,0.144,0.0,6.306784402490313,6.302496266094538,1000,5000,5000,2026
empirical power,truncated_gaussian,power,location_shift,0.3,w2,1.0,0.0,500,0.05,0.0572042510027439,0.144,0.0,0.14331823737146732,0.14318220901316855,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.01,mmd,0.056,0.010282412168358162,500,0.05,0.0004331808497901,1.0,0.0,4.636200472459948e-06,-3.5708766675357495e-05,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.01,potential,0.048,0.009559916317625379,500,0.05,1.9801363445849376,0.244,0.0,1.4122299064018689,1.3533665985544219,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.01,w2,0.058,0.010453324829928513,500,0.05,0.0572042510027439,0.244,0.0,0.05233060743327095,0.051920873836761194,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.02,mmd,0.118,0.014427473791346842,500,0.05,0.0004331808497901,1.0,0.0,9.932130622248955e-05,3.896398975189452e-05,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.02,potential,0.068,0.011258419071965654,500,0.05,1.9801363445849376,0.306,0.0,1.4898908573107061,1.4633287033460833,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.02,w2,0.112,0.014103616557464968,500,0.05,0.0572042510027439,0.306,0.0,0.05346256187418086,0.05317439146102395,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.05,mmd,0.582,0.02205792374635473,500,0.05,0.0004331808497901,1.0,0.0,0.000595757630058393,0.00053825631671805,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.05,potential,0.252,0.019416281827373642,500,0.05,1.9801363445849376,0.286,0.0,1.750112138874801,1.742934947216095,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.05,w2,0.628,0.021615549958305478,500,0.05,0.0572042510027439,0.286,0.0,0.05882416651086222,0.0585290063167667,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.1,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.0021457861064583124,0.0020529958374757,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.1,potential,0.812,0.017473179447370188,500,0.05,1.9801363445849376,0.336,0.0,2.350544228126805,2.3127583145450057,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.1,w2,1.0,0.0,500,0.05,0.0572042510027439,0.336,0.0,0.07461119449734747,0.07396532013540524,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.15,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.00464735449590661,0.00454091261731745,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.15,potential,0.996,0.002822764602300377,500,0.05,1.9801363445849376,0.354,0.0,3.054471350573894,3.023554450866314,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.15,w2,1.0,0.0,500,0.05,0.0572042510027439,0.354,0.0,0.09734731695151805,0.09682721008799244,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.2,mmd,1.0,0.0,500,0.05,0.0004331808497901,1.0,0.0,0.008095832368075623,0.008011832329179451,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.2,potential,1.0,0.0,500,0.05,1.9801363445849376,0.29,0.0,3.85008460347281,3.8395414774680576,1000,5000,5000,2026
empirical power,truncated_gaussian,power,mixture_contamination,0.2,w2,1.0,0.0,500,0.05,0.0572042510027439,0.29,0.0,0.1262199084767785,0.12595913536588849,1000,5000,5000,2026
empirical power,truncated_gaussian,power,scale,1.025,mmd,0.18,0.017181385275931625,500,0.05,0.0004331808497901,1.0,0.0,0.00018463376779244206,0.00012112624981784999,1000,5000,5000,2026
