scenario,replicate,seed,T,centered_l1,success,status,message,nit,fun,grad_inf,runtime_seconds,error_message
calibration_null,16,2043,0.47286311131117037,0.008633259755906808,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2963173969554826,0.0004666666666666667,26.11577606201172,
calibration_null,17,2044,0.296590217897026,0.005414971755919119,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29635505636225723,0.0004666666666666667,26.112098932266235,
calibration_null,18,2045,0.22977349126303764,0.0041950708093827305,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29659750461361234,0.0004666666666666667,26.119486570358276,
calibration_null,19,2046,0.29428274898885354,0.005372843330194189,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2964802931357229,0.0004666666666666667,26.214983224868774,
calibration_null,20,2047,0.3014712965605336,0.005504087652217795,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29647388958977944,0.0004666666666666667,26.120020389556885,
calibration_null,21,2048,0.42585920524510884,0.007775089767798948,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29637612251959045,0.0004666666666666667,26.118844985961914,
calibration_null,22,2049,0.49805020574219855,0.009093111081836372,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2961758282202294,0.0004666666666666667,26.110928535461426,
calibration_null,23,2050,0.35612101549549874,0.006501850446284382,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2964290868691165,0.0004666666666666667,26.11206603050232,
calibration_null,24,2051,0.39192642842737874,0.007155564857736977,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29642748285353343,0.0004666666666666667,26.22709584236145,
calibration_null,25,2052,0.41033174905998065,0.007491598500690021,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29628645707754725,0.0004666666666666667,26.1111056804657,
calibration_null,26,2053,0.23772250231717865,0.004340199231523095,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2965646872499291,0.0004666666666666667,26.11721706390381,
calibration_null,27,2054,0.45760930799016003,0.008354764683684656,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2962890263984264,0.0004666666666666667,26.124865293502808,
calibration_null,28,2055,0.22613570803616873,0.004128654278293729,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29656490664014873,0.0004666666666666667,26.192711353302002,
calibration_null,29,2056,0.21781436753383743,0.003976728081566789,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2966468413480546,0.0004666666666666667,26.11452627182007,
calibration_null,30,2057,0.26136139060909175,0.004771784309917281,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29658126725846035,0.0004666666666666667,26.1187002658844,
calibration_null,31,2058,0.45993259560875044,0.008397181918227137,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2962160073388669,0.0004666666666666667,26.111724138259888,
calibration_null,32,2059,0.2765277549239715,0.005048682971603982,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2965773261579121,0.0004666666666666667,26.115591526031494,
