scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,55,402527,False,0.45672183113541776,0.014442812435107266,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2918140932780261,0.00039999999999999996,0.587476198675121,7.983134031295776,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,55,402528,True,1.656308108391585,0.052377061295224556,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2800582579631961,0.00019999999999999998,0.587476198675121,7.965377569198608,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,55,402529,True,2.827299780647475,0.0894070693494047,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2609978699415028,0.00019999999999999998,0.587476198675121,7.959059953689575,
null,null,0.0,56,302082,True,0.6445105839938887,0.020381214215059503,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.292549687313017,0.0004000000000000001,0.587476198675121,7.960357189178467,
location_shift,Y = X + theta e1,0.1,56,402530,True,1.226811078624432,0.038795172671811144,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28851348348179234,0.0004000000000000001,0.587476198675121,7.956180810928345,
location_shift,Y = X + theta e1,0.25,56,402531,True,3.057420297419782,0.09668411904275939,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.26100803595429045,0.00039999999999999996,0.587476198675121,8.000831842422485,
location_shift,Y = X + theta e1,0.5,56,402532,True,5.842667888603721,0.184761381399147,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.1710881315675104,0.00039999999999999996,0.587476198675121,8.233917713165283,
scale,Y = (1 + theta) X,0.1,56,402533,False,0.4383762003068703,0.013862672649799146,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.290102118066929,0.0004000000000000001,0.587476198675121,7.95827317237854,
scale,Y = (1 + theta) X,0.25,56,402534,True,0.9279815689142011,0.029345353844253817,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2734841180876836,0.0004000000000000001,0.587476198675121,7.959706783294678,
scale,Y = (1 + theta) X,0.5,56,402535,True,1.7738880844808669,0.05609526661192724,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21645376525388957,0.00019999999999999998,0.587476198675121,7.926177740097046,
