Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[trial] d=2, n=300, b=71/100, runtime=18.39s, success=True, nit=477, nfev=483
[trial] d=2, n=300, b=72/100, runtime=10.75s, success=True, nit=278, nfev=282
[trial] d=2, n=300, b=73/100, runtime=11.59s, success=True, nit=299, nfev=303
[trial] d=2, n=300, b=74/100, runtime=8.84s, success=True, nit=227, nfev=230
[trial] d=2, n=300, b=75/100, runtime=10.01s, success=True, nit=258, nfev=262
[trial] d=2, n=300, b=76/100, runtime=9.46s, success=True, nit=244, nfev=248
[trial] d=2, n=300, b=77/100, runtime=12.85s, success=True, nit=334, nfev=337
[trial] d=2, n=300, b=78/100, runtime=10.95s, success=True, nit=284, nfev=287
[trial] d=2, n=300, b=79/100, runtime=10.56s, success=True, nit=274, nfev=277
[trial] d=2, n=300, b=80/100, runtime=12.08s, success=True, nit=313, nfev=317
[trial] d=2, n=300, b=81/100, runtime=12.67s, success=True, nit=327, nfev=332
[trial] d=2, n=300, b=82/100, runtime=9.34s, success=True, nit=242, nfev=245
[trial] d=2, n=300, b=83/100, runtime=11.67s, success=True, nit=300, nfev=306
[trial] d=2, n=300, b=84/100, runtime=10.41s, success=True, nit=269, nfev=273
[trial] d=2, n=300, b=85/100, runtime=12.41s, success=True, nit=317, nfev=323
[trial] d=2, n=300, b=86/100, runtime=10.42s, success=True, nit=266, nfev=269
[trial] d=2, n=300, b=87/100, runtime=11.23s, success=True, nit=260, nfev=264
[trial] d=2, n=300, b=88/100, runtime=15.08s, success=True, nit=362, nfev=365
[trial] d=2, n=300, b=89/100, runtime=11.57s, success=True, nit=285, nfev=288
[trial] d=2, n=300, b=90/100, runtime=10.52s, success=True, nit=257, nfev=262
[trial] d=2, n=300, b=91/100, runtime=8.77s, success=True, nit=214, nfev=218
[trial] d=2, n=300, b=92/100, runtime=20.93s, success=True, nit=530, nfev=533
